synset_id	synset str	lemma	variant
363261	(francium 1* (sbst) [sbst] | Fr 1* (sbst), atomic number 87 1* (sbst))	atomic number 87	1
363260	(fluorine 1* (sbst) [sbst] | F 2* (sbst), atomic number 9 1* (sbst))	atomic number 9	1
363259	(fermium 1* (sbst) [sbst] | Fm 2* (sbst), atomic number 100 1* (sbst))	atomic number 100	1
363258	(europium 1* (sbst) [sbst] | Eu 1* (sbst), atomic number 63 1* (sbst))	atomic number 63	1
363257	(erbium 1* (sbst) [sbst] | Er 1* (sbst), atomic number 68 1* (sbst))	atomic number 68	1
363256	(einsteinium 1* (sbst) [sbst] | Es 1* (sbst), E 2* (sbst), atomic number 99 1* (sbst))	atomic number 99	1
363255	(dysprosium 1* (sbst) [sbst] | Dy 1* (sbst), atomic number 66 1* (sbst))	atomic number 66	1
363254	(dubnium 1* (sbst) [sbst] | Db 1* (sbst), hahnium 1* (sbst), element 105 1* (sbst), atomic number 105 1* (sbst))	atomic number 105	1
363254	(dubnium 1* (sbst) [sbst] | Db 1* (sbst), hahnium 1* (sbst), element 105 1* (sbst), atomic number 105 1* (sbst))	element 105	1
363253	(darmstadtium 1* (sbst) [sbst] | Ds 1* (sbst), element 110 1* (sbst), atomic number 110 1* (sbst))	atomic number 110	1
363253	(darmstadtium 1* (sbst) [sbst] | Ds 1* (sbst), element 110 1* (sbst), atomic number 110 1* (sbst))	element 110	1
363252	(curium 1* (sbst) [sbst] | Cm 2* (sbst), atomic number 96 1* (sbst))	atomic number 96	1
363251	(copper 1* (sbst) [sbst] | Cu 1* (sbst), atomic number 29 1* (sbst))	atomic number 29	1
363250	(cobalt 60 1* (sbst) [sbst] | )	cobalt 60	1
363249	(cobalt 1* (sbst) [sbst] | Co 2* (sbst), atomic number 27 1* (sbst))	atomic number 27	1
363248	(chromium 1* (sbst) [sbst] | Cr 1* (sbst), atomic number 24 1* (sbst))	atomic number 24	1
363246	(chlorine 1* (sbst) [sbst] | Cl 1* (sbst), atomic number 17 1* (sbst))	atomic number 17	1
363245	(cesium 137 1* (sbst) [sbst] | )	cesium 137	1
363244	(cesium 1* (sbst) [sbst] | caesium 1* (sbst), Cs 1* (sbst), atomic number 55 1* (sbst))	atomic number 55	1
363243	(cerium 1* (sbst) [sbst] | Ce 1* (sbst), atomic number 58 1* (sbst))	atomic number 58	1
363242	(radiocarbon 1* (sbst) [sbst] | carbon 14 1* (sbst))	carbon 14	1
363240	(carbon 1* (sbst) [sbst] | C 6* (sbst), atomic number 6 1* (sbst))	atomic number 6	1
363239	(californium 1* (sbst) [sbst] | Cf 1* (sbst), atomic number 98 1* (sbst))	atomic number 98	1
363238	(calcium 1* (sbst) [sbst] | Ca 1* (sbst), atomic number 20 1* (sbst))	atomic number 20	1
363237	(cadmium 1* (sbst) [sbst] | Cd 1* (sbst), atomic number 48 1* (sbst))	atomic number 48	1
363236	(bromine 1* (sbst) [sbst] | Br 1* (sbst), atomic number 35 1* (sbst))	atomic number 35	1
363235	(boron 1* (sbst) [sbst] | B 3* (sbst), atomic number 5 1* (sbst))	atomic number 5	1
363234	(bohrium 1* (sbst) [sbst] | Bh 1* (sbst), element 107 1* (sbst), atomic number 107 1* (sbst))	atomic number 107	1
363234	(bohrium 1* (sbst) [sbst] | Bh 1* (sbst), element 107 1* (sbst), atomic number 107 1* (sbst))	element 107	1
363233	(bismuth 1* (sbst) [sbst] | Bi 1* (sbst), atomic number 83 1* (sbst))	atomic number 83	1
363232	(beryllium 1* (sbst) [sbst] | Be 1* (sbst), glucinium 1* (sbst), atomic number 4 1* (sbst))	atomic number 4	1
363231	(berkelium 1* (sbst) [sbst] | Bk 1* (sbst), atomic number 97 1* (sbst))	atomic number 97	1
363229	(barium dioxide 1* (sbst) [sbst] | barium peroxide 1* (sbst))	barium peroxide	1
363229	(barium dioxide 1* (sbst) [sbst] | barium peroxide 1* (sbst))	barium dioxide	1
363228	(barium monoxide 1* (sbst) [sbst] | barium oxide 1* (sbst), barium protoxide 1* (sbst))	barium protoxide	1
363228	(barium monoxide 1* (sbst) [sbst] | barium oxide 1* (sbst), barium protoxide 1* (sbst))	barium oxide	1
363228	(barium monoxide 1* (sbst) [sbst] | barium oxide 1* (sbst), barium protoxide 1* (sbst))	barium monoxide	1
363227	(barium hydroxide 1* (sbst) [sbst] | )	barium hydroxide	1
363225	(barium 1* (sbst) [sbst] | Ba 1* (sbst), atomic number 56 1* (sbst))	atomic number 56	1
363223	(astatine 1* (sbst) [sbst] | At 1* (sbst), atomic number 85 1* (sbst))	atomic number 85	1
363222	(arsenic 2* (sbst) [sbst] | As 1* (sbst), atomic number 33 1* (sbst))	atomic number 33	1
363221	(argon 1* (sbst) [sbst] | Ar 1* (sbst), atomic number 18 1* (sbst))	atomic number 18	1
363220	(antimony 1* (sbst) [sbst] | Sb 1* (sbst), atomic number 51 1* (sbst))	atomic number 51	1
363219	(americium 1* (sbst) [sbst] | Am 1* (sbst), atomic number 95 1* (sbst))	atomic number 95	1
363218	(alum 1* (sbst) [sbst] | ammonia alum 1* (sbst), ammonium alum 1* (sbst))	ammonium alum	1
363218	(alum 1* (sbst) [sbst] | ammonia alum 1* (sbst), ammonium alum 1* (sbst))	ammonia alum	1
363217	(alum 2* (sbst) [sbst] | potassium alum 1* (sbst), potash alum 1* (sbst))	potash alum	1
363217	(alum 2* (sbst) [sbst] | potassium alum 1* (sbst), potash alum 1* (sbst))	potassium alum	1
363216	(aluminum 1* (sbst) [sbst] | aluminium 1* (sbst), Al 1* (sbst), atomic number 13 1* (sbst))	atomic number 13	1
363215	(actinium 1* (sbst) [sbst] | Ac 1* (sbst), atomic number 89 1* (sbst))	atomic number 89	1
363211	(noble metal 1* (sbst) [sbst] | )	noble metal	1
363210	(metallic element 1* (sbst) [sbst] | metal 1* (sbst))	metallic element	1
363204	(noble gas 1* (sbst) [sbst] | inert gas 1* (sbst), argonon 1* (sbst))	inert gas	1
363204	(noble gas 1* (sbst) [sbst] | inert gas 1* (sbst), argonon 1* (sbst))	noble gas	1
363203	(transuranic element 1* (sbst) [sbst] | transuranium element 1* (sbst))	transuranic element	1
363198	(carbon nanotube 1* (sbst) [sbst] | nanotube 1* (sbst))	carbon nanotube	1
363180	(base metal 1* (sbst) [sbst] | )	base metal	1
360948	(oak blight 1* (st) [st] | )	oak blight	1
355538	(tree of knowledge 1* (rsl) [rsl] | )	tree of knowledge	1
355534	(negro vine 1* (rsl) [rsl] | Vincetoxicum hirsutum 1* (rsl), Vincetoxicum negrum 1* (rsl))	Vincetoxicum negrum	1
355534	(negro vine 1* (rsl) [rsl] | Vincetoxicum hirsutum 1* (rsl), Vincetoxicum negrum 1* (rsl))	Vincetoxicum hirsutum	1
355534	(negro vine 1* (rsl) [rsl] | Vincetoxicum hirsutum 1* (rsl), Vincetoxicum negrum 1* (rsl))	negro vine	1
355533	(Vincetoxicum 1* (rsl) [rsl] | genus Vincetoxicum 1* (rsl))	genus Vincetoxicum	1
355532	(Madagascar jasmine 1* (rsl) [rsl] | waxflower 1* (rsl), Stephanotis floribunda 1* (rsl))	Stephanotis floribunda	1
355532	(Madagascar jasmine 1* (rsl) [rsl] | waxflower 1* (rsl), Stephanotis floribunda 1* (rsl))	Madagascar jasmine	1
355530	(genus Stephanotis 1* (rsl) [rsl] | )	genus Stephanotis	1
355529	(Stapelias asterias 1* (rsl) [rsl] | )	Stapelias asterias	1
355528	(stapelia 1* (rsl) [rsl] | carrion flower 1* (rsl), starfish flower 1* (rsl))	starfish flower	1
355528	(stapelia 1* (rsl) [rsl] | carrion flower 1* (rsl), starfish flower 1* (rsl))	carrion flower	1
355527	(genus Stapelia 1* (rsl) [rsl] | )	genus Stapelia	1
355526	(soma 1* (rsl) [rsl] | haoma 1* (rsl), Sarcostemma acidum 1* (rsl))	Sarcostemma acidum	1
355525	(Sarcostemma 1* (rsl) [rsl] | genus Sarcostemma 1* (rsl))	genus Sarcostemma	1
355524	(silk vine 1* (rsl) [rsl] | Periploca graeca 1* (rsl))	Periploca graeca	1
355524	(silk vine 1* (rsl) [rsl] | Periploca graeca 1* (rsl))	silk vine	1
355523	(Periploca 1* (rsl) [rsl] | genus Periploca 1* (rsl))	genus Periploca	1
355522	(wax plant 1* (rsl) [rsl] | Hoya carnosa 1* (rsl))	Hoya carnosa	1
355522	(wax plant 1* (rsl) [rsl] | Hoya carnosa 1* (rsl))	wax plant	1
355521	(honey plant 1* (rsl) [rsl] | )	honey plant	1
355519	(genus Hoya 1* (rsl) [rsl] | )	genus Hoya	1
355517	(genus Cynancum 1* (rsl) [rsl] | )	genus Cynancum	1
355516	(cruel plant 1* (rsl) [rsl] | Araujia sericofera 1* (rsl))	Araujia sericofera	1
355516	(cruel plant 1* (rsl) [rsl] | Araujia sericofera 1* (rsl))	cruel plant	1
355515	(Araujia 1* (rsl) [rsl] | genus Araujia 1* (rsl))	genus Araujia	1
355514	(whorled milkweed 1* (rsl) [rsl] | Asclepias verticillata 1* (rsl))	Asclepias verticillata	1
355514	(whorled milkweed 1* (rsl) [rsl] | Asclepias verticillata 1* (rsl))	whorled milkweed	1
