synset_id	synset str	lemma	variant
371488	(mean 3* (cpor) [cpor] | intend 4* (cpor), signify 1* (cpor), stand for 2* (cpor))	stand for	2
371485	(make out 9* (cpor) [cpor] | )	make out	9
371482	(suggest 4* (cpor) [cpor] | evoke 5* (cpor), paint a picture 1* (cpor))	paint a picture	1
371481	(rip out 2* (cpor) [cpor] | )	rip out	2
371480	(burst out 1* (cpor) [cpor] | )	burst out	1
371469	(clue in 1* (cpor) [cpor] | )	clue in	1
371453	(signalize 3* (cpor) [cpor] | signalise 3* (cpor), point out 2* (cpor), call attention 1* (cpor))	call attention	1
371453	(signalize 3* (cpor) [cpor] | signalise 3* (cpor), point out 2* (cpor), call attention 1* (cpor))	point out	2
371433	(determine 8* (cpor) [cpor] | check 21* (cpor), find out 3* (cpor), see 9* (cpor), ascertain 3* (cpor), watch 7* (cpor), learn 6* (cpor))	find out	3
371427	(determine 1* (cpor) [cpor] | find 4* (cpor), find out 1* (cpor), ascertain 1* (cpor))	find out	1
371413	(speak up 2* (cpor) [cpor] | )	speak up	2
371409	(holler 1* (cpor) [cpor] | holler out 1* (cpor))	holler out	1
371408	(vociferate 1* (cpor) [cpor] | shout out 2* (cpor))	shout out	2
371406	(interject 1* (cpor) [cpor] | come in 4* (cpor), interpose 3* (cpor), put in 6* (cpor), throw in 3* (cpor), inject 6* (cpor))	throw in	3
371406	(interject 1* (cpor) [cpor] | come in 4* (cpor), interpose 3* (cpor), put in 6* (cpor), throw in 3* (cpor), inject 6* (cpor))	put in	6
371406	(interject 1* (cpor) [cpor] | come in 4* (cpor), interpose 3* (cpor), put in 6* (cpor), throw in 3* (cpor), inject 6* (cpor))	come in	4
371404	(shriek 1* (cpor) [cpor] | shrill 1* (cpor), pipe up 2* (cpor), pipe 1* (cpor))	pipe up	2
371398	(shout 2* (cpor) [cpor] | shout out 1* (cpor), cry 1* (cpor), call 4* (cpor), yell 1* (cpor), scream 1* (cpor), holler 2* (cpor), hollo 3* (cpor), squall 2* (cpor))	shout out	1
371395	(exclaim 1* (cpor) [cpor] | cry 3* (cpor), cry out 1* (cpor), outcry 2* (cpor), call out 1* (cpor), shout 3* (cpor))	call out	1
371395	(exclaim 1* (cpor) [cpor] | cry 3* (cpor), cry out 1* (cpor), outcry 2* (cpor), call out 1* (cpor), shout 3* (cpor))	cry out	1
371387	(raise hell 1* (cpor) [cpor] | make a stink 1* (cpor), raise a stink 1* (cpor))	raise a stink	1
371387	(raise hell 1* (cpor) [cpor] | make a stink 1* (cpor), raise a stink 1* (cpor))	make a stink	1
371387	(raise hell 1* (cpor) [cpor] | make a stink 1* (cpor), raise a stink 1* (cpor))	raise hell	1
371379	(stoop to 1* (cpor) [cpor] | )	stoop to	1
371377	(patronize 4* (cpor) [cpor] | patronise 4* (cpor), patronage 2* (cpor), support 10* (cpor), keep going 3* (cpor))	keep going	3
371371	(complain 1* (cpor) [cpor] | kick 8* (cpor), plain 1* (cpor), sound off 3* (cpor), quetch 1* (cpor), kvetch 1* (cpor))	sound off	3
371361	(get off 4* (cpor) [cpor] | )	get off	4
371349	(wash one's hands 1* (cpor) [cpor] | )	wash one's hands	1
371340	(say farewell 1* (cpor) [cpor] | )	say farewell	1
371339	(dismiss 5* (cpor) [cpor] | usher out 1* (cpor))	usher out	1
371330	(take a bow 1* (cpor) [cpor] | )	take a bow	1
371329	(take a bow 2* (cpor) [cpor] | )	take a bow	2
371327	(bow 1* (cpor) [cpor] | bow down 2* (cpor))	bow down	2
371326	(cross oneself 1* (cpor) [cpor] | )	cross oneself	1
371323	(shake hands 1* (cpor) [cpor] | )	shake hands	1
371321	(address 1* (cpor) [cpor] | turn to 1* (cpor))	turn to	1
371313	(cover for 1* (cpor) [cpor] | )	cover for	1
371312	(stand up 5* (cpor) [cpor] | stick up 2* (cpor))	stick up	2
371312	(stand up 5* (cpor) [cpor] | stick up 2* (cpor))	stand up	5
371311	(take sides with 1* (cpor) [cpor] | take someone's side 1* (cpor))	take someone's side	1
371311	(take sides with 1* (cpor) [cpor] | take someone's side 1* (cpor))	take sides with	1
