	id	lemma	domain	pos	tagcount	source	status	comment	variant	project	owner	error_comment	verb_aspect	sense id	synset_id	synset	sense_id
80	6023	poprosić o rękę	30	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
81	6155	posyłać uśmiech	35	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
82	6202	potrzeba picia	9	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	1			0				
83	6233	powetować sobie	31	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
84	6243	powiedzieć na ucho	30	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
85	6329	pożegnać się z życiem	28	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: PRd>	1	1			1				
86	6411	praca pisemna	7	2	0.0	1.0	0.0	##K: og. ##D: praca szkolna w formie pisemnej. [##P: Pani od polskiego mówiła, że przy wystawianiu stopni będzie brała pod uwagę oceny z prac pisemnych i z aktywności.] <##nDD> 	1	1			0				
87	143819	dekoracja okna	3	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	2	Justyna.Ławniczak		0				
88	6743	przekroczyć próg	36	1	0.0	1.0	0.0	##K: książk. ##D: wejść, najczęściej do domu, miejsca, w którym ktoś mieszka. [##P: Nie waż się więcej przekroczyć progu mojego namiotu!] <##nDD> <##VLC: AK>	1	1			1				
89	6772	przemówić do rozsądku	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
90	6773	przemówić do rozumu	29	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
91	6788	przenieść się do wieczności	28	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: PRd>	1	1			1				
92	6791	przeniesienie praw	18	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD> ##A1: 0 ##A2: 0	1	1			0				
93	6908	przewód wentylacyjny	3	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	1			0				
94	7043	przypadać do gustu	35	1	0.0	1.0	0.0	##K: książk. ##D: sprawiać, że ktoś coś zaczyna lubić, zaczynać się podobać. [##P: Mieliśmy opory przed spróbowaniem kuchni indyjskiej, ale zaczyna nam przypadać do gustu.] <##nDD> <##VLC: ZD>	1	1			2				
95	7050	przypaść do gustu	35	1	0.0	1.0	0.0	##K: og. ##D: spodobać się, spowodować, że ktoś coś polubi. [##P: Marek i Aśka jakoś tak przypadli sobie do gustu, chociaż nikt ze znajomych nie wróżył im długiego związku.] <##nDD> <##VLC: WY>	1	1			1				
96	7078	przyspieszyć kroku	36	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZd>	1	1			1				
97	611355	ryba morska	21	2	0.0	1.0	0.0	##K: og. ##D: ryba żyjąca w morzu. [##W: Popularne, szczególnie w okresie postów, były ryby morskie (zwłaszcza konserwowane i transportowane na spore odległości dorsze i śledzie) i słodkowodne.] <##nDD> 	1	2	Kinga.Banderowicz		0				
